Feature,Importance
OverallCond_o,0.139554767
SaleCondition_oooo,0.094700542
GarageType_ooo,0.074475736
Functional_Typ,0.038527811
BsmtQual_oooo,0.034572847
FireplaceQu_ooooo,0.027520685
LotFrontage,0.024501468
Functional_Maj2,0.021615978
GarageQual_o,0.021495991
Neighborhood_ooooo,0.019937945
Functional_Sev,0.018935338
FireplaceQu_oo,0.018608546
Neighborhood_oooo,0.016033542
TotalHouse,0.015666948
BsmtQual_o,0.015407952
OverallCond_t,0.014447132
LotShape_oo,0.0140812
HalfBath,0.011379378
WoodDeckSFExist_o,0.011174156
OverallCond_tw,0.009699498
2ndFlrSF,0.008109682
Condition1_ooooo,0.007598712
SaleCondition_o,0.005496337
ExterQual_o,0.005152165
GarageFinish_RFn,0.005074325
FullBath_1,0.004627944
Heating_ooooo,0.004565602
Heating_oooo,0.004325277
PavedDrive_P,0.004006944
MSSubClass_oooooo,0.003990941
MasVnrType_oo,0.003716756
LotArea_OverallQual,0.003651278
PorchSFExist_oo,0.003575257
Condition1_ooo,0.002234483
BsmtCond_oooo,0.002025192
Exterior2nd_VinylSd,0.001497708
TotalHouse_LotArea,0.001440059
KitchenQual_ooo,0.001391785
2ndFlrSFExist_oo,0.000897584
FullBath_o,0.00044915
ExterQual_oo,0.000310303
GarageArea,5.33E-05
MSZoning_oo,2.74E-18
YearBuilt,1.22E-18
LotArea,0
YearRemodAdd,0
MasVnrArea,0
BsmtUnfSF,0
TotalBsmtSF,0
KitchenAbvGr,0
TotalArea,0
Bsmt,0
TotalPlace,0
MSSubClass_o,0
MSSubClass_oo,0
MSSubClass_ooooo,0
LotShape_o,0
LotShape_ooo,0
Neighborhood_e,0
Neighborhood_o,0
Neighborhood_oooooo,0
Neighborhood_ooooooo,0
Condition1_oo,0
BldgType_o ,0
HouseStyle_oo,0
HouseStyle_ooo,0
HouseStyle_oooo,0
OverallCond_f,0
MasVnrType_ooo,0
ExterQual_ooo,0
Foundation_Other,0
BsmtQual_oo,0
BsmtCond_Po,0
BsmtCond_oo,0
BsmtCond_ooo,0
Heating_o,0
Heating_ooo,0
FullBath_3,0
KitchenQual_o,0
KitchenQual_oo,0
TotRmsAbvGrd_B6,0
TotRmsAbvGrd_L6,0
Functional_Mod,0
GarageType_oo,0
GarageType_oooo,0
GarageQual_ooo,0
GarageCond_Bd,0
GarageCond_Gd,0
PavedDrive_N,0
SaleCondition_oo,0
SaleCondition_ooo,0
MasVnrAreaExist_oo,0
TotalBsmtSFExist_oo,0
2ndFlrSFExist_o,0
WoodDeckSFExist_oo,0
GarageAreaExist_o,0
Exterior1st_Other,-3.04E-19
Condition1_oooo,-2.43E-18
GarageFinish_Other,-0.000171746
HouseStyle_o,-0.000456692
FireplaceQu_o,-0.00046968
TotalSF,-0.000837187
MSSubClass_ooo,-0.001270765
PorchSF,-0.001297619
Neighborhood_MeadowV,-0.001355568
FullBath_2,-0.002510941
1stFlrSF,-0.002797986
Neighborhood_oo,-0.002830271
BsmtFinSF2,-0.003042752
Heating_oo,-0.003049544
BldgType_oo,-0.003233326
GrLivArea,-0.003273418
YrSold,-0.003293229
Functional_Min1,-0.003819139
PorchArea,-0.005213287
MSZoning_ooo,-0.005642214
MasVnrType_o,-0.00595125
Condition1_o,-0.006088588
MSZoning_o,-0.00684626
GarageYrBlt,-0.007223777
BsmtQual_ooo,-0.007948135
Exterior2nd_Other,-0.008139632
TotalBsmtSFExist_o,-0.00826122
Neighborhood_ooo,-0.009007796
Neighborhood_StoneBr,-0.009180351
HeatingQC_Other,-0.009440526
HeatingQC_Ex,-0.009555284
MSSubClass_oooo,-0.010272397
Functional_Maj1,-0.010769524
GarageType_o,-0.011979828
GarageQual_oo,-0.01247885
OverallQual,-0.013015255
Foundation_PConc,-0.013210076
FireplaceQu_oooo,-0.017113714
PorchSFExist_o,-0.020384956
PavedDrive_Y,-0.021027931
FireplaceQu_ooo,-0.021868008
Functional_Min2,-0.023072639
WoodDeckSF,-0.035684393
GarageAreaExist_oo,-0.038476785
MasVnrAreaExist_o,-0.04934162
